时间,创意名称,创意ID,笔记ID,单元名称,单元ID,计划名称,计划ID,消费,展现量,点击量,点击率,平均点击成本,平均千次展示费用,点赞,评论,收藏,关注,分享,互动量,平均互动成本,行动按钮点击量,行动按钮点击率,截图,保存图片,加入购物车次数,立即购买次数,下单订单数,成交订单数,点击转化率,rGMV,投入产出比,进店访问量,表单数,平均表单收集成本,落地页访问量,表单按钮曝光量,有效表单数,有效表单平均成本,表单转化率,私信咨询人数,私信咨询条数,私信咨询数,平均位次,首位曝光排名,首位曝光占比,前三位曝光排名,前三位曝光占比,首位点击排名,首位点击占比,前三位点击排名,前三位点击占比
合计29条记录,-,-,-,-,-,-,-,2117.34,22132,1031,4.66%,2.05,95.67,1,0,0,1,0,2,1058.67,20,1.94%,9,1,4,1,1,1,0.1%,119.0,0.06,275,0,0.0,0,0,0,0.0,0.0%,0,0,0,-,-,-,-,-,-,-,-,-
2022-09-01,0509商卡-儿童洗发-9aa5-品牌词,13974779,,0509商卡-儿童洗发-9aa5-品牌词,2859126,0509商卡-儿童洗发-9aa5-品牌词,2270498,269.59,3834,155,4.04%,1.74,70.32,0,0,0,0,0,0,0.0,0,0.0%,0,0,1,1,1,1,0.65%,119.0,0.44,173,0,0.0,0,0,0,0.0,0.0%,0,0,0,-,-,-,-,-,-,-,-,-
2022-09-01,0509商卡-儿童洗发-9aa5-品类词,13974890,,0509商卡-儿童洗发-9aa5-品类词,2859136,0509商卡-儿童洗发-9aa5-品类词,2270510,54.12,380,25,6.58%,2.16,142.42,0,0,0,0,0,0,0.0,0,0.0%,0,0,0,0,0,0,0.0%,0.0,0.0,27,0,0.0,0,0,0,0.0,0.0%,0,0,0,-,-,-,-,-,-,-,-,-
2022-09-01,0721信息流-儿童洗发-caed-系统,17282942,62d55e28000000001200caed,0721信息流-儿童洗发-caed-系统,3327967,0721信息流-儿童洗发-caed-系统,2715351,0.0,0,0,0.0%,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0%,0,0,0,0,0,0,0.0%,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0%,0,0,0,-,-,-,-,-,-,-,-,-
2022-09-01,0725-搜索-儿童洗发-b8b3-品类词,17429905,62c50864000000002103b8b3,0725-搜索-儿童洗发-b8b3-品类词,3347329,0725-搜索-儿童洗发-b8b3-品类词,2735201,49.07,444,22,4.95%,2.23,110.52,0,0,0,0,0,0,0.0,0,0.0%,2,0,0,0,0,0,0.0%,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0%,0,0,0,-,-,-,-,-,-,-,-,-
2022-09-01,0818-搜索-儿童洗发-6598- 品类词,18452489,62d90aef0000000012006598,0818-搜索-儿童洗发-6598- 品类词,3774449,0818-搜索-儿童洗发-6598- 品类词,3159554,75.76,457,36,7.88%,2.1,165.78,0,0,0,0,0,0,0.0,5,13.89%,0,0,0,0,0,0,0.0%,0.0,0.0,5,0,0.0,0,0,0,0.0,0.0%,0,0,0,-,-,-,-,-,-,-,-,-
2022-09-01,0818-搜索-儿童洗发-51fd- 品类词,18452835,62be77a700000000040051fd,0818-搜索-儿童洗发-51fd- 品类词,3774589,0818-搜索-儿童洗发-51fd- 品类词,3159739,173.72,780,84,10.77%,2.07,222.72,0,0,0,0,0,0,0.0,2,2.38%,2,0,0,0,0,0,0.0%,0.0,0.0,1,0,0.0,0,0,0,0.0,0.0%,0,0,0,-,-,-,-,-,-,-,-,-
2022-09-01,0818-搜索-儿童洗发-caed- 品类词,18452959,62d55e28000000001200caed,0818-搜索-儿童洗发-caed- 品类词,3774658,0818-搜索-儿童洗发-caed- 品类词,3159784,400.45,1171,207,17.68%,1.93,341.97,1,0,0,0,0,1,400.45,5,2.42%,3,0,2,0,0,0,0.0%,0.0,0.0,8,0,0.0,0,0,0,0.0,0.0%,0,0,0,-,-,-,-,-,-,-,-,-
2022-09-01,0818-搜索-儿童洗发-b59f- 品类词,18453057,628b190c000000002103b59f,0818-搜索-儿童洗发-b59f- 品类词,3774711,0818-搜索-儿童洗发-b59f- 品类词,3159829,18.86,358,10,2.79%,1.89,52.68,0,0,0,0,0,0,0.0,0,0.0%,0,0,0,0,0,0,0.0%,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0%,0,0,0,-,-,-,-,-,-,-,-,-
2022-09-01,0818-搜索-儿童洗发-8efe- 品类词,18453181,62da1c7e000000000e028efe,0818-搜索-儿童洗发-8efe- 品类词,3774778,0818-搜索-儿童洗发-8efe- 品类词,3159897,200.4,910,104,11.43%,1.93,220.22,0,0,0,0,0,0,0.0,1,0.96%,0,0,0,0,0,0,0.0%,0.0,0.0,1,0,0.0,0,0,0,0.0,0.0%,0,0,0,-,-,-,-,-,-,-,-,-
