时间,单元名称,单元ID,营销诉求,搭建方式,广告类型,推广目标,出价方式,推广标的类型,创意跳转类型,商品Id,计划名称,计划ID,消费,展现量,点击量,点击率,平均点击成本,平均千次展示费用,点赞,评论,收藏,关注,分享,互动量,平均互动成本,行动按钮点击量,行动按钮点击率,截图,保存图片,加入购物车次数,立即购买次数,下单订单数,成交订单数,点击转化率,rGMV,投入产出比,进店访问量,表单数,平均表单收集成本,落地页访问量,表单按钮曝光量,有效表单数,有效表单平均成本,表单转化率,私信咨询人数,私信咨询条数,私信咨询数,平均位次,首位曝光排名,首位曝光占比,前三位曝光排名,前三位曝光占比,首位点击排名,首位点击占比,前三位点击排名,前三位点击占比
合计30条记录,-,-,-,-,-,-,-,-,-,-,-,-,3986.55,63629,3157,4.96%,1.26,62.65,65,7,29,7,3,111,35.91,103,3.26%,23,6,25,7,9,8,0.25%,550.9,0.14,784,0,0.0,0,0,0,0.0,0.0%,0,0,0,-,-,-,-,-,-,-,-,-
2022-09-19,0509商卡-儿童洗发-9aa5-品牌词,2859126,商品销量,标准投放,搜索广告,商品成单量,自动出价,商品,直接跳转,60474cc5a4f4fd00014e9aa5,0509商卡-儿童洗发-9aa5-品牌词,2270498,503.66,8506,358,4.21%,1.41,59.21,0,0,0,0,0,0,0.0,0,0.0%,0,0,2,1,1,1,0.28%,49.0,0.1,402,0,0.0,0,0,0,0.0,0.0%,0,0,0,-,-,-,-,-,-,-,-,-
2022-09-19,0509商卡-儿童洗发-9aa5-品类词,2859136,商品销量,标准投放,搜索广告,商品成单量,自动出价,商品,直接跳转,60474cc5a4f4fd00014e9aa5,0509商卡-儿童洗发-9aa5-品类词,2270510,96.69,1239,50,4.04%,1.93,78.04,0,0,0,0,0,0,0.0,0,0.0%,0,0,3,0,1,1,2.0%,49.0,0.51,63,0,0.0,0,0,0,0.0,0.0%,0,0,0,-,-,-,-,-,-,-,-,-
2022-09-19,0725信息流-儿童洗发-9069-系统,3347244,产品种草,标准投放,信息流广告,互动量,自动出价,笔记,笔记跳转,620b4f5cf9e0810001dffb5f,0725信息流-儿童洗发-9069-系统,2735141,0.0,0,0,0.0%,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0%,0,0,0,0,0,0,0.0%,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0%,0,0,0,-,-,-,-,-,-,-,-,-
2022-09-19,0725-搜索-儿童洗发-b8b3-品类词,3347329,商品销量,标准投放,搜索广告,商品成单量,自动出价,笔记,笔记跳转,60474cc5a4f4fd00014e9aa5,0725-搜索-儿童洗发-b8b3-品类词,2735201,190.76,1872,106,5.66%,1.8,101.9,0,0,1,0,0,1,190.76,3,2.83%,1,0,0,0,0,0,0.0%,0.0,0.0,3,0,0.0,0,0,0,0.0,0.0%,0,0,0,-,-,-,-,-,-,-,-,-
2022-09-19,0818-搜索-儿童洗发-6598- 品类词,3774449,产品种草,标准投放,搜索广告,点击量,手动出价,笔记,笔记跳转,60474cc5a4f4fd00014e9aa5,0818-搜索-儿童洗发-6598- 品类词,3159554,148.33,1218,77,6.32%,1.93,121.78,0,0,0,0,0,0,0.0,12,15.58%,1,0,0,0,0,0,0.0%,0.0,0.0,11,0,0.0,0,0,0,0.0,0.0%,0,0,0,-,-,-,-,-,-,-,-,-
2022-09-19,0818-搜索-儿童洗发-51fd- 品类词,3774589,商品销量,标准投放,搜索广告,商品成单量,自动出价,笔记,笔记跳转,60474cc5a4f4fd00014e9aa5,0818-搜索-儿童洗发-51fd- 品类词,3159739,201.32,1325,122,9.21%,1.65,151.94,0,0,0,0,0,0,0.0,2,1.64%,1,1,0,0,0,0,0.0%,0.0,0.0,2,0,0.0,0,0,0,0.0,0.0%,0,0,0,-,-,-,-,-,-,-,-,-
2022-09-19,0818-搜索-儿童洗发-caed- 品类词,3774658,商品销量,标准投放,搜索广告,商品成单量,自动出价,笔记,笔记跳转,60474cc5a4f4fd00014e9aa5,0818-搜索-儿童洗发-caed- 品类词,3159784,600.19,2331,378,16.22%,1.59,257.48,3,0,1,0,0,4,150.05,10,2.65%,5,1,0,0,0,0,0.0%,0.0,0.0,21,0,0.0,0,0,0,0.0,0.0%,0,0,0,-,-,-,-,-,-,-,-,-
2022-09-19,0818-搜索-儿童洗发-8efe- 品类词,3774778,商品销量,标准投放,搜索广告,商品成单量,自动出价,笔记,笔记跳转,60474cc5a4f4fd00014e9aa5,0818-搜索-儿童洗发-8efe- 品类词,3159897,200.06,1375,134,9.75%,1.49,145.5,0,0,0,0,1,1,200.06,2,1.49%,1,0,0,0,0,0,0.0%,0.0,0.0,14,0,0.0,0,0,0,0.0,0.0%,0,0,0,-,-,-,-,-,-,-,-,-
2022-09-19,0818-搜索-儿童洗发-2d91- 品类词,3774818,商品销量,标准投放,搜索广告,商品成单量,自动出价,笔记,笔记跳转,60474cc5a4f4fd00014e9aa5,0818-搜索-儿童洗发-2d91- 品类词,3159946,206.39,1377,98,7.12%,2.11,149.88,0,1,0,0,0,1,206.39,4,4.08%,0,1,0,0,0,0,0.0%,0.0,0.0,5,0,0.0,0,0,0,0.0,0.0%,0,0,0,-,-,-,-,-,-,-,-,-
2022-09-19,0822-搜索-儿童面霜-852a- 品类词,3848441,商品销量,标准投放,搜索广告,商品成单量,自动出价,笔记,笔记跳转,62fdd68804a79a0001925407,0822-搜索-儿童面霜-852a- 品类词,3233483,21.16,288,9,3.12%,2.35,73.47,0,0,0,0,0,0,0.0,0,0.0%,0,0,0,0,0,0,0.0%,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0%,0,0,0,-,-,-,-,-,-,-,-,-
2022-09-19,0824商卡-儿童面霜-5407-品牌词,3887946,商品销量,标准投放,搜索广告,商品成单量,自动出价,商品,直接跳转,62fdd68804a79a0001925407,0824商卡-儿童面霜-5407-品牌词,3272789,84.54,1776,53,2.98%,1.6,47.6,0,0,0,0,0,0,0.0,0,0.0%,0,0,2,3,2,2,3.77%,108.0,1.28,86,0,0.0,0,0,0,0.0,0.0%,0,0,0,-,-,-,-,-,-,-,-,-
2022-09-19,0827-搜索-儿童面霜蓝甘菊-7cd7-品类词,3955776,产品种草,标准投放,搜索广告,点击量,手动出价,笔记,笔记跳转,62fdd68804a79a0001925407,0827-搜索-儿童面霜蓝甘菊-7cd7-品类词,3340484,35.87,310,12,3.87%,2.99,115.71,1,0,0,0,0,1,35.87,0,0.0%,0,0,0,0,0,0,0.0%,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0%,0,0,0,-,-,-,-,-,-,-,-,-
2022-09-19,0827-搜索-儿童面霜蓝甘菊-7dff-品类词,3956071,产品种草,标准投放,搜索广告,点击量,手动出价,笔记,笔记跳转,62fdd68804a79a0001925407,0827-搜索-儿童面霜蓝甘菊-7dff-品类词,3340778,323.27,1000,75,7.5%,4.31,323.27,0,0,1,0,0,1,323.27,9,12.0%,0,1,2,0,0,0,0.0%,0.0,0.0,20,0,0.0,0,0,0,0.0,0.0%,0,0,0,-,-,-,-,-,-,-,-,-
2022-09-19,0902-商卡-儿童面霜-5407-品类词,4066485,商品销量,标准投放,搜索广告,商品成单量,自动出价,商品,直接跳转,62fdd68804a79a0001925407,0902-商卡-儿童面霜-5407-品类词,3449150,39.17,431,19,4.41%,2.06,90.88,0,0,0,0,0,0,0.0,0,0.0%,0,0,3,2,4,3,15.79%,295.9,7.55,48,0,0.0,0,0,0,0.0,0.0%,0,0,0,-,-,-,-,-,-,-,-,-
2022-09-19,0902-信息流-儿童面霜蓝甘菊-852a-系统,4079659,产品种草,标准投放,信息流广告,互动量,自动出价,笔记,笔记跳转,62fdd68804a79a0001925407,0902-信息流-儿童面霜蓝甘菊-852a-系统,3462268,0.0,0,0,0.0%,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0%,0,0,0,0,0,0,0.0%,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0%,0,0,0,-,-,-,-,-,-,-,-,-
2022-09-19,0905-信息流-儿童洗发-9e18-系统,4129160,产品种草,标准投放,信息流广告,互动量,自动出价,笔记,笔记跳转,620b4f5cf9e0810001dffb5f,0905-信息流-儿童洗发-9e18-系统,3511729,301.36,6370,535,8.4%,0.56,47.31,41,6,4,7,0,58,5.2,3,0.56%,0,0,2,0,0,0,0.0%,0.0,0.0,6,0,0.0,0,0,0,0.0,0.0%,0,0,0,-,-,-,-,-,-,-,-,-
